Table,Column,Issue,Row_count,Magnitude,Solvable?,Resolution
orders,PURCHASE_TS,inconsistent date formate,10,0.05%,Y,used DATE function to reformate the dates correctly
orders,PURCHASE_TS,missing date,1,0.00%,N, left as is -low magnitude and no way to infer 
orders,PRODUCT_NAME,"inconsistent spelling between ""27inches 4k gaming monitor"" and ""27in 4K gaming monitor""",61,0.28%,Y,recategorized to correct spelling
orders,USD_PRICE,missing or $0 transactions,34,0.16%,N,"left as is - no way to infer, need to check with stakeholders"
orders,MARKETING_CHANNEL,missing marketing channel,83,0.38%,Y,"recategorized to ""unknown"""
orders,ACCOUNT_CREATION_METHOD,missing account creation method- same count as marketing channel?,83,0.38%,Y,"recategorized to ""unknown"""
orders,COUNTRY_CODE,missing country code,37,0.17%,N,"left as is - no way to infer, need to check with stakeholders"
region,REGION,"inconsistent or nonsensical values, missing values",9,0.04%,Y,filled in by looking up the correct values
orders,all,duplicates within order id for two different user IDs,145,0.66%,Y,left as is- could delete duplicate values but low volume
orders,all,ship timestamp before purchase timestamp,1999,9.14%,N,left it as is- need to flag if furthur analysis is related to ship timestamp
